CPU(J),RAM(J),%CPU,RAM(kB)
3.44,0.39,99.9,3812180
3.53,0.41,100,3812068
3.40,0.38,100.1,3811960
3.50,0.40,99.9,3811668
3.49,0.40,100,3812084
3.42,0.40,99.9,3811668
3.43,0.39,100,3811588
3.46,0.40,100,3811852
3.40,0.38,99.9,3812000
3.44,0.38,99.9,3812008
3.44,0.40,100.1,3806876
3.09,0.36,94.2,3806012
3.45,0.41,99.9,3803908
3.51,0.41,100,3804008
3.47,0.43,100,3805008
3.53,0.46,100,3806620
3.45,0.41,99.9,3803792
3.45,0.41,100,3804992
3.52,0.42,100,3804216
3.50,0.42,100,3804948
3.46,0.40,100,3804748
3.51,0.42,100,3801132
3.51,0.43,100,3801380
3.46,0.40,100,3799908
3.43,0.40,100,3800768
3.44,0.42,100,3800356
3.44,0.41,100,3800900
3.47,0.41,0,3799812
3.46,0.40,99.9,3800372
3.47,0.41,100,3800448
3.46,0.42,100,3800640
3.57,0.47,100,3799332
3.47,0.39,100,3800040
3.49,0.39,100,3799620
3.44,0.40,100,3800160
3.45,0.40,99.9,3799872
3.42,0.40,100,3799912
3.44,0.40,100,3799656
3.42,0.39,100,3800244
3.45,0.39,99.9,3799880
3.41,0.39,100,3799516
3.42,0.40,100,3798808
3.44,0.40,100,3798944
3.51,0.40,100,3799044
3.46,0.41,100,3798904
3.47,0.40,100,3799028
3.49,0.39,99.9,3798732
3.43,0.39,99.9,3798564
3.42,0.38,99.9,3798492
3.43,0.39,99.9,3798456
3.41,0.39,100,3798580
3.43,0.40,99.9,3798572
3.46,0.40,99.9,3799256
3.50,0.41,99.9,3798620
3.44,0.39,100,3798248
3.43,0.39,100,3796600
3.50,0.39,100,3797308
3.42,0.38,99.9,3797504
3.43,0.40,100,3797040
3.44,0.40,100.1,3797056
3.49,0.40,100,3797580
3.48,0.40,100,3798304
3.50,0.41,100,3798384
3.44,0.39,100,3797980
3.52,0.39,100,3797552
3.52,0.40,100,3798096
3.47,0.39,99.9,3798076
3.43,0.40,100,3797956
3.42,0.39,100,3797840
3.49,0.40,100,3797568
3.48,0.40,100,3796956
3.45,0.40,99.9,3797132
3.44,0.39,99.9,3797100
3.49,0.39,99.9,3797220
3.47,0.39,100.1,3796028
2.21,0.33,25.6,3795440
3.46,0.40,99.3,3796016
3.46,0.41,100,3796016
3.44,0.41,99.9,3796396
3.48,0.41,100,3796024
3.47,0.41,100,3794792
3.50,0.42,100,3796064
3.43,0.41,100,3796420
3.48,0.41,100,3795784
3.45,0.44,99.9,3795684
3.46,0.41,100,3795924
3.52,0.42,100,3795908
3.52,0.41,100,3795288
3.51,0.42,100,3795500
3.56,0.42,100,3796112
3.49,0.42,100,3795800
3.48,0.42,100,3795676
3.57,0.43,100.1,3794568
3.53,0.41,100,3795496
3.56,0.42,100,3796072
3.51,0.42,100,3796072
3.49,0.49,100,3795028
3.47,0.40,99.9,3795616
3.41,0.40,100,3795576
3.41,0.41,100,3796072
3.45,0.41,100,3795840
3.42,0.42,100,3795476
3.42,0.40,100,3792772
3.42,0.41,100,3787904
3.46,0.41,100,3789384
3.41,0.42,100,3786968
3.51,0.41,100,3787692
3.47,0.41,0,3787572
3.45,0.41,100,3791844
3.45,0.42,99.9,3792100
3.45,0.40,100,3791704
3.44,0.40,100,3791820
3.50,0.41,100,3792464
3.50,0.41,100,3791960
3.44,0.41,99.9,3791108
3.51,0.41,99.9,3790404
3.51,0.44,100,3791256
3.44,0.41,99.9,3790952
3.46,0.41,100,3791220
3.44,0.41,99.9,3791444
3.47,0.41,100,3791288
3.49,0.42,99.9,3790412
3.53,0.43,0,3790660
3.46,0.41,100,3790640
3.49,0.41,100.1,3791196
3.52,0.42,100,3790840
3.43,0.41,100,3790848
3.45,0.42,100,3790956
3.40,0.40,100,3791336
3.41,0.41,99.9,3790568
3.43,0.41,100,3790504
3.43,0.42,99.9,3789196
3.42,0.41,99.9,3789252
3.45,0.41,100,3790072
3.44,0.41,100,3790072
3.44,0.43,100,3790012
3.47,0.42,100.1,3787824
3.48,0.42,100,3788212
3.41,0.41,100,3788816
3.51,0.42,99.9,3788700
3.52,0.41,99.9,3788288
3.42,0.41,100,3787396
3.46,0.41,99.9,3787988
3.46,0.42,100,3788740
3.46,0.40,100,3788112
3.49,0.40,100,3788120
3.44,0.41,100,3788096
3.50,0.41,99.9,3787848
3.40,0.46,100,3719444
3.43,0.42,100,3698940
3.47,0.43,100,3698444
3.50,0.44,100.1,3685288
3.46,0.43,100,3840628
3.57,0.43,100.1,3760112
3.50,0.48,100.1,3786400
3.44,0.42,100,3787140
3.47,0.43,100,3786204
3.45,0.40,100.1,3786236
3.47,0.41,99.9,3786948
3.44,0.42,100,3786704
3.42,0.41,100,3786892
3.42,0.40,100,3787876
3.43,0.40,100,3787352
3.46,0.41,100,3788128
3.47,0.42,100,3787716
3.42,0.41,100,3786816
3.42,0.40,100,3788104
3.41,0.41,100,3786896
3.48,0.41,100,3786096
3.40,0.41,100,3786716
3.43,0.40,100,3786120
3.46,0.40,100,3786416
3.44,0.41,100,3785856
3.43,0.41,99.9,3786260
3.46,0.42,100,3785344
3.47,0.41,100,3785484
3.44,0.43,100,3784624
3.44,0.41,99.9,3786364
3.44,0.40,100,3785532
3.44,0.41,100,3785704
3.50,0.40,100,3786156
3.43,0.39,99.9,3784620
3.42,0.40,100,3785008
3.45,0.40,100,3785016
3.42,0.41,100,3785520
3.44,0.40,100,3784500
3.41,0.40,100,3785044
3.49,0.40,100,3785668
3.44,0.39,99.9,3785224
3.44,0.40,100,3785080
3.44,0.40,100,3784212
3.45,0.40,99.2,3784044
2.10,0.34,26.7,3785080
2.06,0.32,25.9,3785008
2.10,0.32,25.9,3784468
2.09,0.33,26.6,3784840
2.12,0.34,25.6,3784808
2.07,0.32,27.9,3784468
2.10,0.32,27.7,3784584
2.19,0.34,26,3784004
2.13,0.34,28.3,3783452
2.09,0.33,26.7,3783600
2.08,0.32,25.4,3783972
2.09,0.33,29.2,3783972
2.08,0.33,27.4,3783096
2.10,0.33,26.7,3782980
2.08,0.32,26.4,3782508
2.09,0.33,26.6,3780384
2.10,0.33,26.6,3780384
2.13,0.33,26.6,3780508
2.08,0.32,26.6,3780136
2.10,0.33,27,3780324
2.17,0.34,89.9,3774592
3.48,0.41,100,3774712
3.46,0.40,100,3775356
3.56,0.41,100,3775348
3.46,0.48,100,3775332
3.50,0.42,100,3775092
3.54,0.45,99.9,3771876
3.47,0.40,100,3770536
3.47,0.41,100,3763668
3.45,0.41,100,3766660
3.54,0.42,100,3766104
3.46,0.39,100,3770988
3.51,0.41,99.9,3771512
3.45,0.42,100,3773096
3.44,0.41,100,3772860
3.45,0.41,100,3773248
3.51,0.41,100,3772672
3.46,0.41,100,3773032
3.46,0.40,100,3772792
3.46,0.39,100,3773412
3.49,0.40,100,3772460
3.50,0.44,99.9,3774756
3.43,0.40,99.9,3775272
3.50,0.41,99.9,3775384
3.49,0.40,100,3774144
3.43,0.40,99.9,3774932
3.43,0.39,100,3773316
3.53,0.41,100.1,3773348
3.48,0.40,99.9,3773412
3.40,0.39,100,3773420
3.43,0.41,100,3773152
3.44,0.40,100.1,3772768
3.45,0.40,100,3772436
3.49,0.39,100.1,3772944
3.48,0.40,100,3771136
3.43,0.39,100,3772288
3.49,0.40,100,3772544
3.41,0.39,99.9,3773000
3.43,0.39,100,3772636
3.43,0.40,99.9,3772644
3.40,0.39,100,3772188
3.42,0.40,100,3772644
3.43,0.38,99.9,3772520
3.49,0.38,100,3772064
3.56,0.40,99.9,3771908
3.47,0.40,99.3,3772388
3.42,0.39,100,3772056
3.50,0.40,100,3772864
3.44,0.40,100,3772724
3.43,0.39,100,3772880
3.40,0.39,100,3772416
3.41,0.38,99.9,3773152
3.43,0.38,100,3772512
3.48,0.39,100,3771904
3.48,0.40,100,3771612
3.43,0.39,100,3771944
3.47,0.39,100,3771944
3.52,0.41,100,3771968
3.42,0.39,100.1,3772012
3.42,0.39,99.9,3771456
3.49,0.40,100,3771332
3.40,0.39,99.9,3771816
3.44,0.38,99.9,3771464
3.48,0.39,99.9,3771556
3.23,0.36,51.8,3771256
2.09,0.32,26.6,3770736
2.11,0.33,28.1,3771480
2.10,0.33,25.6,3771736
2.09,0.33,26.1,3771352
2.09,0.32,25.9,3771256
2.10,0.33,26.4,3771300
3.47,0.43,100,3771152
3.46,0.40,99.9,3770636
3.45,0.40,100,3770656
3.49,0.41,99.9,3770036
3.47,0.43,100,3770276
3.47,0.40,100,3770572
3.56,0.41,99.9,3770780
3.49,0.41,100,3770772
3.49,0.46,100,3769944
3.53,0.42,100,3770268
3.53,0.40,100,3770788
3.47,0.40,100,3770504
3.49,0.46,99.9,3770788
3.48,0.41,100,3769788
3.55,0.41,100,3770404
3.47,0.40,100,3767124
3.58,0.43,100.1,3763976
3.49,0.42,100,3764456
3.48,0.41,100,3763992
3.54,0.42,100,3764008
3.58,0.44,99.9,3762912
3.54,0.42,100,3768248
3.53,0.42,100,3768792
3.60,0.42,100,3769164
3.53,0.42,99.9,3768892
3.46,0.43,100,3769332
3.56,0.41,100,3768636
3.51,0.41,100,3768900
3.54,0.45,99.9,3768032
3.56,0.43,100,3768552
3.49,0.40,100.1,3768568
3.55,0.41,100,3768544
3.47,0.42,99.9,3767536
3.53,0.44,100,3768316
3.48,0.40,100,3768528
3.51,0.41,100,3769148
3.52,0.42,100,3768504
3.47,0.41,100,3768024
3.53,0.41,100,3768064
3.50,0.42,100,3767892
3.50,0.41,100,3767288
3.45,0.40,100,3768028
3.19,0.37,76.6,3767056
3.03,0.36,51.4,3766876
2.93,0.35,54.4,3767620
2.93,0.34,51.8,3767824
2.92,0.35,51,3766412
2.97,0.36,54.8,3766240
3.01,0.35,52.6,3766480
2.94,0.35,51.8,3766156
2.95,0.34,52.1,3766020
2.93,0.34,51.8,3766100
2.93,0.35,54.7,3764580
2.94,0.35,51.8,3764988
2.95,0.35,55.1,3764732
2.96,0.35,53.6,3764748
2.92,0.33,52.1,3764996
2.95,0.33,52.6,3765368
2.92,0.34,52.1,3765620
2.94,0.35,52.1,3765528
2.96,0.35,51.4,3765700
2.95,0.34,54.8,3765496
2.96,0.34,51.9,3764752
3.52,0.41,100,3763908
3.50,0.39,100,3764300
3.58,0.41,100,3763628
3.49,0.46,100,3763744
3.50,0.41,100,3763336
3.51,0.39,100,3763676
3.60,0.41,100,3764676
3.50,0.45,99.9,3763692
3.56,0.41,100,3764960
3.56,0.41,99.9,3764644
3.53,0.40,100,3764436
3.49,0.42,100,3764308
3.50,0.41,100,3764884
3.58,0.42,100,3763680
3.51,0.43,100,3764224
3.49,0.40,99.9,3763736
3.50,0.40,99.9,3763132
3.57,0.42,100,3762776
2.26,0.36,8.9,3928248
