CPU(J),RAM(J),%CPU,RAM(kB)
3.26,0.33,100,4764744
3.28,0.35,99.9,4764604
3.23,0.36,100,4765388
3.22,0.31,100,4764676
3.22,0.31,100,4765148
3.35,0.36,99.9,4765000
3.49,0.35,100,4765248
3.34,0.36,100,4765488
3.29,0.35,100,4764496
3.22,0.31,100,4765208
3.30,0.36,100,4765388
3.29,0.33,99.9,4765224
3.23,0.32,100,4764712
3.23,0.33,100,4765140
3.21,0.33,100,4765332
3.23,0.33,100,4765180
3.26,0.32,100,4763472
3.42,0.36,100,4763668
3.46,0.34,99.9,4763536
3.26,0.37,99.9,4764000
3.22,0.31,100,4764256
3.24,0.32,100,4763388
3.25,0.34,100,4764344
3.29,0.32,100,4763124
3.22,0.32,100,4764172
3.33,0.37,99.9,4763600
3.24,0.34,100,4763784
3.34,0.43,99.3,4675840
3.22,0.36,100,4674848
3.39,0.37,99.9,4674560
3.47,0.37,100,4674692
3.38,0.39,100,4655704
3.22,0.36,100,4801972
3.36,0.42,100.1,4762408
3.21,0.41,100.1,4762464
3.25,0.38,100,4763532
3.22,0.31,100,4763440
3.26,0.32,100,4763168
3.29,0.42,100,4763904
3.23,0.33,100,4764028
3.27,0.33,100,4764308
3.24,0.38,100,4764248
3.44,0.34,100,4764036
3.33,0.37,100,4763904
3.21,0.36,100,4763896
3.30,0.32,100,4764416
3.26,0.32,100,4764332
3.22,0.39,100,4764068
3.26,0.32,100,4763928
3.22,0.31,100,4763820
3.39,0.38,100,4764348
3.27,0.32,100,4763596
3.23,0.33,99.9,4764580
3.31,0.34,100,4764204
3.37,0.37,100,4763760
3.33,0.36,100,4763676
3.24,0.34,100,4763284
3.23,0.31,99.2,4763180
3.31,0.36,100,4763816
3.30,0.35,100.1,4763832
3.21,0.34,99.9,4763436
3.28,0.34,100,4764068
3.20,0.34,99.9,4763272
3.22,0.35,100,4763608
3.23,0.32,100,4763416
3.48,0.34,100.1,4763108
3.23,0.32,100,4763772
3.23,0.33,100,4764564
3.27,0.36,99.9,4763448
3.28,0.34,100,4763720
3.22,0.31,100,4763672
3.26,0.37,100,4763432
3.23,0.32,100,4763284
3.23,0.33,100,4763936
3.24,0.36,100,4763204
3.44,0.35,100,4763432
3.44,0.33,99.9,4763060
3.21,0.34,100,4763360
3.23,0.32,100,4763540
3.33,0.37,99.9,4763424
3.25,0.32,100,4763176
3.26,0.32,0,4763472
3.33,0.38,100,4763552
3.27,0.33,100,4763556
3.23,0.34,100,4763224
3.28,0.35,99.9,4763512
3.35,0.36,100,4763092
3.41,0.36,99.9,4763184
3.21,0.35,100,4763580
3.29,0.33,0,4763596
3.22,0.36,100,4762968
3.30,0.32,100,4763720
3.34,0.33,100.1,4763472
3.34,0.35,100,4762988
3.23,0.33,100,4763464
3.22,0.31,100,4764260
3.21,0.34,100,4763684
3.41,0.34,100,4763100
3.39,0.34,100,4763436
3.23,0.37,100,4763596
3.23,0.31,100,4763160
3.25,0.31,100,4763612
3.30,0.35,100,4763504
3.26,0.32,100,4763496
3.25,0.36,100,4763536
3.27,0.34,100,4763096
3.22,0.32,99.9,4763744
3.24,0.38,99.9,4763356
3.27,0.34,100,4763456
3.37,0.36,100,4762672
3.26,0.35,99.9,4763040
3.31,0.42,100.1,4678816
3.27,0.33,100,4687164
3.31,0.43,100,4686884
3.22,0.32,100,4687032
3.23,0.34,99.9,4686620
3.33,0.38,99.9,4686528
3.22,0.35,100,4687736
3.22,0.31,100,4687132
3.21,0.32,100,4686636
3.44,0.38,100,4686388
3.36,0.33,100,4686956
3.24,0.35,100,4686976
3.23,0.33,100,4686760
3.22,0.32,100,4686488
3.26,0.37,0,4686496
3.23,0.33,100,4687512
3.29,0.34,100,4686868
3.33,0.37,100,4686764
3.23,0.33,100,4686540
3.29,0.35,100,4686744
3.26,0.35,100,4686588
3.41,0.38,100,4686428
3.36,0.35,0,4686756
3.25,0.39,99.9,4685856
3.23,0.32,99.9,4686712
3.34,0.36,100.1,4685932
3.21,0.38,100,4686292
3.28,0.33,100.1,4685556
3.22,0.52,100,4757232
3.23,0.33,0,4757796
3.24,0.34,100,4761432
3.28,0.33,100,4760924
3.30,0.33,100,4761224
3.41,0.34,100,4761100
3.47,0.39,100,4761704
3.22,0.36,100,4761300
3.26,0.32,100,4761564
3.32,0.37,99.9,4761424
3.20,0.37,99.9,4761688
3.21,0.31,100,4762468
3.25,0.32,99.9,4762800
3.26,0.36,100,4762688
3.22,0.32,100,4763092
3.21,0.35,100,4762836
3.27,0.36,100,4762540
3.34,0.39,100,4762652
3.43,0.38,100,4762736
3.21,0.35,100,4762960
3.27,0.32,100,4762608
3.24,0.32,100,4762116
3.29,0.33,100,4761924
3.23,0.33,100,4763140
3.30,0.35,100,4761940
3.26,0.35,100,4762576
3.25,0.32,100,4762768
3.25,0.32,99.2,4763008
3.29,0.38,100,4762520
3.37,0.34,100,4761908
3.39,0.34,99.9,4762528
