CPU(J),Exhaustivo,Aleatorio,Evolutivo
3.48,3.48,,3.45
3.53,3.53,,3.45
3.56,3.56,,3.44
3.55,3.55,,3.5
3.55,3.55,,3.5
3.62,3.62,,3.44
3.59,3.59,,3.51
3.6,3.6,,3.51
3.56,3.56,,3.44
3.56,3.56,,3.46
3.58,3.58,,3.44
3.59,3.59,,3.47
3.59,3.59,,3.49
3.63,3.63,,3.53
3.59,3.59,,3.46
3.68,3.68,,3.49
3.71,3.71,,3.52
3.88,3.88,,3.43
3.76,3.76,,3.45
3.82,3.82,,3.4
3.86,3.86,,3.41
3.82,3.82,,3.43
3.95,3.95,,3.43
3.71,3.71,,3.42
3.78,3.78,,3.45
3.63,3.63,,3.44
3.63,3.63,,3.44
3.64,3.64,,3.47
3.74,3.74,,3.48
3.63,3.63,,3.41
3.67,3.67,,3.51
3.77,3.77,,3.52
3.71,3.71,,3.42
3.62,3.62,,3.46
3.67,3.67,,3.46
3.63,3.63,,3.46
3.62,3.62,,3.49
3.64,3.64,,3.44
3.66,3.66,,3.5
3.55,3.55,,3.4
3.73,3.73,,3.43
3.16,3.16,,3.47
3.68,3.68,,3.5
3.64,3.64,,3.46
3.59,3.59,,3.57
3.57,3.57,,3.5
3.56,3.56,,3.44
3.6,3.6,,3.47
3.49,3.49,,3.45
3.49,3.49,,3.47
3.6,3.6,,3.44
3.48,3.48,,3.42
3.48,3.48,,3.42
3.47,3.47,,3.43
3.58,3.58,,3.46
3.48,3.48,,3.47
3.52,3.52,,3.42
3.65,3.65,,3.42
3.54,3.54,,3.41
3.55,3.55,,3.48
3.49,3.49,,3.4
3.49,3.49,,3.43
3.53,3.53,,3.46
3.5,3.5,,3.44
3.58,3.58,,3.43
3.51,3.51,,3.46
3.5,3.5,,3.47
3.54,3.54,,3.44
3.65,3.65,,3.44
3.62,3.62,,3.44
3.58,3.58,,3.44
3.56,3.56,,3.5
3.53,3.53,,3.43
3.55,3.55,,3.42
3.52,3.52,,3.45
3.53,3.53,,3.42
3.61,3.61,,3.44
3.57,3.57,,3.41
3.6,3.6,,3.49
3.55,3.55,,3.44
3.57,3.57,,3.44
3.62,3.62,,3.44
3.73,3.73,,3.45
3.6,3.6,,2.1
3.58,3.58,,2.06
3.61,3.61,,2.1
3.52,3.52,,2.09
3.62,3.62,,2.12
3.81,3.81,,2.07
3.8,3.8,,2.1
3.88,3.88,,2.19
3.82,3.82,,2.13
3.76,3.76,,2.09
3.86,3.86,,2.08
3.63,3.63,,2.09
3.62,3.62,,2.08
3.62,3.62,,2.1
3.66,3.66,,2.08
3.64,3.64,,2.09
3.62,3.62,,2.1
3.61,3.61,,2.13
3.05,3.05,,2.08
3.63,3.63,,2.1
3.7,3.7,,2.17
3.64,3.64,,3.48
3.63,3.63,,3.46
3.64,3.64,,3.56
3.63,3.63,,3.46
3.62,3.62,,3.5
3.64,3.64,,3.54
3.66,3.66,,3.47
3.62,3.62,,3.47
3.81,3.81,,3.45
3.76,3.76,,3.54
3.63,3.63,,3.46
3.59,3.59,,3.51
3.67,3.67,,3.45
3.53,3.53,,3.44
3.58,3.58,,3.45
3.5,3.5,,3.51
3.46,3.46,,3.46
3.57,3.57,,3.46
3.54,3.54,,3.46
3.53,3.53,,3.49
3.55,3.55,,3.5
3.56,3.56,,3.43
3.52,3.52,,3.5
3.51,3.51,,3.49
3.52,3.52,,3.43
3.54,3.54,,3.43
3.62,3.62,,3.53
3.67,3.67,,3.48
3.47,3.47,,3.4
3.5,3.5,,3.43
3.57,3.57,,3.44
3.46,3.46,,3.45
3.6,3.6,,3.49
3.52,3.52,,3.48
3.56,3.56,,3.43
3.6,3.6,,3.49
3.53,3.53,,3.41
3.64,3.64,,3.43
3.54,3.54,,3.43
3.54,3.54,,3.4
3.54,3.54,,3.42
3.54,3.54,,3.43
3.65,3.65,,3.49
3.61,3.61,,3.56
3.66,3.66,,3.47
3.55,3.55,,3.42
3.51,3.51,,3.5
3.66,3.66,,3.44
3.58,3.58,,3.43
3.66,3.66,,3.4
3.65,3.65,,3.41
3.68,3.68,,3.43
3.66,3.66,,3.48
3.61,3.61,,3.48
3.68,3.68,,3.43
3.79,3.79,,3.47
3.81,3.81,,3.52
3.81,3.81,,3.42
3.84,3.84,,3.42
3.7,3.7,,3.49
3.69,3.69,,3.4
3.71,3.71,,3.44
3.64,3.64,,3.48
3.66,3.66,,3.23
3.6,3.6,,2.09
3.57,3.57,,2.11
2.97,2.97,,2.1
3.41,3.41,,2.09
3.54,3.54,,2.09
3.63,3.63,,2.1
3.61,3.61,,3.47
3.66,3.66,,3.46
3.64,3.64,,3.45
3.66,3.66,,3.49
3.64,3.64,,3.47
3.69,3.69,,3.47
3.64,3.64,,3.56
3.68,3.68,,3.49
3.69,3.69,,3.49
3.63,3.63,,3.53
3.8,3.8,,3.53
3.64,3.64,,3.47
3.62,3.62,,3.49
3.62,3.62,,3.48
3.54,3.54,,3.55
3.65,3.65,,3.47
3.61,3.61,,3.58
3.5,3.5,,3.49
3.51,3.51,,3.48
3.55,3.55,,3.54
3.51,3.51,,3.58
3.65,3.65,,3.54
3.52,3.52,,3.53
3.59,3.59,,3.6
3.5,3.5,,3.53
3.58,3.58,,3.46
3.49,3.49,,3.56
3.49,3.49,,3.51
3.52,3.52,,3.54
3.49,3.49,,3.56
3.53,3.53,,3.49
3.55,3.55,,3.55
3.55,3.55,,3.47
3.49,3.49,,3.53
3.58,3.58,,3.48
3.53,3.53,,3.51
3.57,3.57,,3.52
3.58,3.58,,3.47
3.48,3.48,,3.53
3.55,3.55,,3.5
3.53,3.53,,3.5
3.48,3.48,,3.45
3.5,3.5,,3.19
3.53,3.53,,3.03
3.56,3.56,,2.93
3.62,3.62,,2.93
3.6,3.6,,2.92
3.56,3.56,,2.97
3.54,3.54,,3.01
3.56,3.56,,2.94
3.57,3.57,,2.95
3.63,3.63,,2.93
3.61,3.61,,2.93
3.53,3.53,,2.94
3.69,3.69,,2.95
3.69,3.69,,2.96
3.75,3.75,,2.92
3.72,3.72,,2.95
3.79,3.79,,2.92
3.86,3.86,,2.94
3.86,3.86,,2.96
3.79,3.79,,2.95
3.8,3.8,,2.96
3.61,3.61,,3.52
3.49,3.49,,3.5
3.61,3.61,,3.58
3.67,3.67,,3.49
3.64,3.64,,3.5
3.61,3.61,,3.51
3.65,3.65,,3.6
3.64,3.64,,3.5
3.64,3.64,,3.56
3.63,3.63,,3.56
3.61,3.61,,3.53
3.6,3.6,,3.49
3.64,3.64,,3.5
3.64,3.64,,3.58
3.63,3.63,,3.51
3.63,3.63,,3.49
3.6,3.6,,3.5
3.64,3.64,,3.57
3.62,3.62,,2.26
3.61,3.61,,
3.62,3.62,,
3.51,3.51,,
3.64,3.64,,
3.51,3.51,,
3.55,3.55,,
3.67,3.67,,
3.51,3.51,,
3.51,3.51,,
3.56,3.56,,
3.51,3.51,,
3.57,3.57,,
3.57,3.57,,
3.64,3.64,,
3.69,3.69,,
3.63,3.63,,
3.64,3.64,,
3.55,3.55,,
3.58,3.58,,
3.56,3.56,,
3.52,3.52,,
3.58,3.58,,
3.51,3.51,,
3.52,3.52,,
3.49,3.49,,
3.56,3.56,,
3.57,3.57,,
3.54,3.54,,
3.52,3.52,,
3.51,3.51,,
3.51,3.51,,
3.59,3.59,,
3.53,3.53,,
3.55,3.55,,
3.52,3.52,,
3.68,3.68,,
3.53,3.53,,
3.57,3.57,,
3.55,3.55,,
3.54,3.54,,
3.58,3.58,,
3.54,3.54,,
3.54,3.54,,
3.53,3.53,,
3.54,3.54,,
3.51,3.51,,
3.62,3.62,,
3.68,3.68,,
3.72,3.72,,
3.57,3.57,,
3.89,3.89,,
3.87,3.87,,
3.78,3.78,,
3.82,3.82,,
3.83,3.83,,
3.82,3.82,,
3.65,3.65,,
3.81,3.81,,
3.62,3.62,,
3.71,3.71,,
3.66,3.66,,
3.65,3.65,,
3.64,3.64,,
3.62,3.62,,
3.62,3.62,,
3.68,3.68,,
3.78,3.78,,
3.64,3.64,,
3.75,3.75,,
3.64,3.64,,
3.63,3.63,,
3.77,3.77,,
3.64,3.64,,
3.59,3.59,,
3.62,3.62,,
3.64,3.64,,
3.72,3.72,,
3.61,3.61,,
3.55,3.55,,
3.62,3.62,,
3.52,3.52,,
3.64,3.64,,
3.58,3.58,,
3.53,3.53,,
3.53,3.53,,
3.54,3.54,,
3.48,3.48,,
3.49,3.49,,
3.52,3.52,,
3.51,3.51,,
3.52,3.52,,
3.53,3.53,,
3.52,3.52,,
3.48,3.48,,
3.49,3.49,,
3.45,3.45,,
3.51,3.51,,
3.59,3.59,,
3.65,3.65,,
3.6,3.6,,
3.62,3.62,,
3.61,3.61,,
3.53,3.53,,
3.55,3.55,,
3.57,3.57,,
3.65,3.65,,
3.6,3.6,,
3.57,3.57,,
3.55,3.55,,
3.7,3.7,,
3.5,3.5,,
3.69,3.69,,
3.66,3.66,,
3.58,3.58,,
3.57,3.57,,
3.59,3.59,,
3.7,3.7,,
3.6,3.6,,
3.61,3.61,,
3.57,3.57,,
3.55,3.55,,
3.68,3.68,,
3.66,3.66,,
3.74,3.74,,
2.74,2.74,,
3.55,3.55,,
3.62,3.62,,
3.77,3.77,,
3.62,3.62,,
3.71,3.71,,
3.67,3.67,,
3.66,3.66,,
3.63,3.63,,
3.74,3.74,,
3.65,3.65,,
3.62,3.62,,
3.64,3.64,,
3.62,3.62,,
3.68,3.68,,
3.63,3.63,,
3.68,3.68,,
3.63,3.63,,
3.63,3.63,,
3.64,3.64,,
3.63,3.63,,
3.67,3.67,,
3.67,3.67,,
3.68,3.68,,
3.62,3.62,,
3.64,3.64,,
3.63,3.63,,
3.51,3.51,,
3.5,3.5,,
3.52,3.52,,
3.58,3.58,,
3.59,3.59,,
3.61,3.61,,
3.55,3.55,,
3.55,3.55,,
3.6,3.6,,
3.53,3.53,,
3.51,3.51,,
3.64,3.64,,
3.52,3.52,,
3.66,3.66,,
3.5,3.5,,
3.5,3.5,,
3.48,3.48,,
3.58,3.58,,
3.53,3.53,,
3.52,3.52,,
3.6,3.6,,
3.53,3.53,,
3.53,3.53,,
3.66,3.66,,
3.58,3.58,,
3.55,3.55,,
3.55,3.55,,
3.54,3.54,,
3.55,3.55,,
3.68,3.68,,
3.59,3.59,,
3.53,3.53,,
3.63,3.63,,
3.58,3.58,,
3.8,3.8,,
3.58,3.58,,
3.54,3.54,,
3.6,3.6,,
3.69,3.69,,
3.61,3.61,,
3.71,3.71,,
3.64,3.64,,
3.95,3.95,,
3.77,3.77,,
3.95,3.95,,
3.8,3.8,,
3.81,3.81,,
3.63,3.63,,
3.73,3.73,,
3.64,3.64,,
3.63,3.63,,
3.61,3.61,,
3.58,3.58,,
3.67,3.67,,
3.61,3.61,,
3.59,3.59,,
3.68,3.68,,
3.68,3.68,,
3.64,3.64,,
3.74,3.74,,
3.65,3.65,,
3.68,3.68,,
3.52,3.52,,
3.64,3.64,,
3.55,3.55,,
3.57,3.57,,
3.64,3.64,,
3.66,3.66,,
3.62,3.62,,
3.59,3.59,,
3.52,3.52,,
3.62,3.62,,
3.52,3.52,,
3.5,3.5,,
3.5,3.5,,
3.53,3.53,,
3.52,3.52,,
3.5,3.5,,
3.47,3.47,,
3.58,3.58,,
3.56,3.56,,
3.58,3.58,,
3.5,3.5,,
3.5,3.5,,
3.51,3.51,,
3.53,3.53,,
3.62,3.62,,
3.51,3.51,,
3.62,3.62,,
3.5,3.5,,
3.57,3.57,,
3.52,3.52,,
3.57,3.57,,
3.55,3.55,,
3.53,3.53,,
3.6,3.6,,
3.51,3.51,,
3.57,3.57,,
3.58,3.58,,
3.58,3.58,,
3.68,3.68,,
3.6,3.6,,
3.61,3.61,,
3.51,3.51,,
3.53,3.53,,
3.54,3.54,,
3.55,3.55,,
3.68,3.68,,
3.58,3.58,,
3.5,3.5,,
3.6,3.6,,
3.62,3.62,,
3.71,3.71,,
3.64,3.64,,
3.68,3.68,,
3.73,3.73,,
3.8,3.8,,
3.75,3.75,,
3.84,3.84,,
3.83,3.83,,
3.84,3.84,,
3.63,3.63,,
3.73,3.73,,
3.63,3.63,,
3.67,3.67,,
3.72,3.72,,
3.58,3.58,,
3.7,3.7,,
3.73,3.73,,
3.62,3.62,,
3.63,3.63,,
3.64,3.64,,
3.75,3.75,,
3.68,3.68,,
3.77,3.77,,
3.74,3.74,,
3.71,3.71,,
3.76,3.76,,
